EMPRESA_JUNIOR,FEDERACAO,TEMPO_MEDIO_DIAS,META_participacao_eventos,META_Impacto,MES,FATURAMENTO,PROJETOS,N_ACOES_COMPARTILHADAS,ESTADO,CIDADE,MEMBROS
PROJEC,FEJESP,45,60,18,2,5680,2,0,SP,Campinas,28
PROJEC,FEJESP,45,60,18,3,720,1,0,SP,Campinas,28
PROJEC,FEJESP,45,60,18,4,750,1,0,SP,Campinas,28
Serra Jr. Engenharia,RioJunior,NaN,50,7,1,0,0,0,RJ,Nova Friburgo,23
Serra Jr. Engenharia,RioJunior,NaN,50,7,2,0,0,0,RJ,Nova Friburgo,23
Serra Jr. Engenharia,RioJunior,NaN,50,7,3,0,0,0,RJ,Nova Friburgo,23
Serra Jr. Engenharia,RioJunior,NaN,50,7,4,0,0,0,RJ,Nova Friburgo,23
Núcleo Consultoria Jr,RioJunior,35,36,12,1,488.1,3,0,RJ,Seropédica,16
Núcleo Consultoria Jr,RioJunior,35,36,12,2,0,0,0,RJ,Seropédica,16
Núcleo Consultoria Jr,RioJunior,35,36,12,3,2800,2,0,RJ,Seropédica,16
Núcleo Consultoria Jr,RioJunior,35,36,12,4,0,0,0,RJ,Seropédica,16
A.C.E. Consultoria,FEJEPE,35.07,100,81,1,44661.99,16,0,PE,Recife,30
A.C.E. Consultoria,FEJEPE,35.07,100,81,2,19575.88,5,1,PE,Recife,30
A.C.E. Consultoria,FEJEPE,35.07,100,81,3,17110.35,3,0,PE,Recife,30
A.C.E. Consultoria,FEJEPE,35.07,100,81,4,25821.42,4,0,PE,Recife,30
Performance Júnior,FEJESP,NaN,33,1,1,0,0,0,SP,Presidente Prudente,6
Performance Júnior,FEJESP,NaN,33,1,2,0,0,0,SP,Presidente Prudente,6
Performance Júnior,FEJESP,NaN,33,1,3,0,0,0,SP,Presidente Prudente,6
Performance Júnior,FEJESP,NaN,33,1,4,0,0,0,SP,Presidente Prudente,6
Tríade Empresa Júnior,FEJESC,NaN,0,0,1,0,0,0,SC,Florianópolis,1
Tríade Empresa Júnior,FEJESC,NaN,0,0,2,0,0,0,SC,Florianópolis,1
Tríade Empresa Júnior,FEJESC,NaN,0,0,3,0,0,0,SC,Florianópolis,1
Tríade Empresa Júnior,FEJESC,NaN,0,0,4,0,0,0,SC,Florianópolis,1
Sustentar Júnior,Goiás Júnior,15,33,5,1,0,0,0,GO,Rio Verde,18
Sustentar Júnior,Goiás Júnior,15,33,5,2,0,0,0,GO,Rio Verde,18
Sustentar Júnior,Goiás Júnior,15,33,5,3,3100,3,0,GO,Rio Verde,18
Sustentar Júnior,Goiás Júnior,15,33,5,4,0,0,0,GO,Rio Verde,18
Epq Jr.,FEJEPAR,57,50,5,1,0,0,0,PR,,19
Epq Jr.,FEJEPAR,57,50,5,2,0,0,0,PR,,19
Epq Jr.,FEJEPAR,57,50,5,3,1560,1,0,PR,,19
Epq Jr.,FEJEPAR,57,50,5,4,0,0,0,PR,,19
VALETUR,FEMTEJ,NaN,0,0,1,0,0,0,MT,,9
VALETUR,FEMTEJ,NaN,0,0,2,0,0,0,MT,,9
VALETUR,FEMTEJ,NaN,0,0,3,0,0,0,MT,,9
VALETUR,FEMTEJ,NaN,0,0,4,0,0,0,MT,,9
Project Jr,RN Júnior,43,78,12,1,0,0,0,RN,Mossoró,18
Project Jr,RN Júnior,43,78,12,2,1600,1,0,RN,Mossoró,18
Project Jr,RN Júnior,43,78,12,3,0,0,0,RN,Mossoró,18
Project Jr,RN Júnior,43,78,12,4,4335,1,0,RN,Mossoró,18
ACPE Consultoria Jr.,FEJEMG,15,70,18,1,0,0,0,MG,Uberlândia,30
ACPE Consultoria Jr.,FEJEMG,15,70,18,2,1766.55,2,0,MG,Uberlândia,30
ACPE Consultoria Jr.,FEJEMG,15,70,18,3,0,0,0,MG,Uberlândia,30
ACPE Consultoria Jr.,FEJEMG,15,70,18,4,0,0,0,MG,Uberlândia,30
Locus Iuris,FEJESC,19.13,70,90,1,4300,6,0,SC,Florianópolis,15
Locus Iuris,FEJESC,19.13,70,90,2,6575,9,0,SC,Florianópolis,15
Locus Iuris,FEJESC,19.13,70,90,3,7598,10,0,SC,Florianópolis,15
Locus Iuris,FEJESC,19.13,70,90,4,4260,6,0,SC,Florianópolis,15
EQ Júnior - Consultoria e Projetos,FEJESP,23,80,3,1,0,0,0,SP,São Carlos,19
EQ Júnior - Consultoria e Projetos,FEJESP,23,80,3,2,310,1,0,SP,São Carlos,19
EQ Júnior - Consultoria e Projetos,FEJESP,23,80,3,3,0,0,0,SP,São Carlos,19
EQ Júnior - Consultoria e Projetos,FEJESP,23,80,3,4,0,0,0,SP,São Carlos,19
Building Engenharia Júnior,Pará Júnior,26.67,55,10,1,0,0,0,PA,Belém,6
Building Engenharia Júnior,Pará Júnior,26.67,55,10,2,0,0,0,PA,Belém,6
Building Engenharia Júnior,Pará Júnior,26.67,55,10,3,1544.15,2,0,PA,Belém,6
Building Engenharia Júnior,Pará Júnior,26.67,55,10,4,340,1,0,PA,Belém,6
THÊMIS,FEJEMS,5.75,50,8,1,750,3,0,MS,Dourados,11
THÊMIS,FEJEMS,5.75,50,8,2,360,2,0,MS,Dourados,11
THÊMIS,FEJEMS,5.75,50,8,3,1400,5,0,MS,Dourados,11
THÊMIS,FEJEMS,5.75,50,8,4,2700,14,0,MS,Dourados,11
Tática Jr,Juniores,84.5,60,9,1,600,1,0,ES,Guarapari,10
Tática Jr,Juniores,84.5,60,9,2,400,1,0,ES,Guarapari,10
Tática Jr,Juniores,84.5,60,9,3,0,0,0,ES,Guarapari,10
Tática Jr,Juniores,84.5,60,9,4,0,0,0,ES,Guarapari,10
Escritório modelo de contabilidade ,Acre Júnior,NaN,0,0,1,0,0,0,AC,,4
Escritório modelo de contabilidade ,Acre Júnior,NaN,0,0,2,0,0,0,AC,,4
Escritório modelo de contabilidade ,Acre Júnior,NaN,0,0,3,0,0,0,AC,,4
Escritório modelo de contabilidade ,Acre Júnior,NaN,0,0,4,0,0,0,AC,,4
Projetar Empresa Júnior de Desenho Industrial,FEJERS,22.5,80,3,1,0,0,0,RS,Santa Maria,7
Projetar Empresa Júnior de Desenho Industrial,FEJERS,22.5,80,3,2,1535,2,0,RS,Santa Maria,7
Projetar Empresa Júnior de Desenho Industrial,FEJERS,22.5,80,3,3,0,0,0,RS,Santa Maria,7
Projetar Empresa Júnior de Desenho Industrial,FEJERS,22.5,80,3,4,0,0,0,RS,Santa Maria,7
CORAq - Consultoria em Recursos Aquáticos,FEJECE,111,45,12,1,0,0,0,CE,Fortaleza,17
CORAq - Consultoria em Recursos Aquáticos,FEJECE,111,45,12,2,100,1,0,CE,Fortaleza,17
CORAq - Consultoria em Recursos Aquáticos,FEJECE,111,45,12,3,2232,1,0,CE,Fortaleza,17
CORAq - Consultoria em Recursos Aquáticos,FEJECE,111,45,12,4,0,0,0,CE,Fortaleza,17
Arbórea Florestal ,FEJEMG,14.5,33,1,1,6500,1,0,MG,Diamantina,24
Arbórea Florestal ,FEJEMG,14.5,33,1,2,0,0,0,MG,Diamantina,24
Arbórea Florestal ,FEJEMG,14.5,33,1,3,40,1,0,MG,Diamantina,24
Arbórea Florestal ,FEJEMG,14.5,33,1,4,0,0,0,MG,Diamantina,24
ESALQ Jr. Consultoria,FEJESP,37.5,75,4,1,0,0,0,SP,Piracicaba,14
ESALQ Jr. Consultoria,FEJESP,37.5,75,4,2,0,0,0,SP,Piracicaba,14
ESALQ Jr. Consultoria,FEJESP,37.5,75,4,3,8800,2,0,SP,Piracicaba,14
ESALQ Jr. Consultoria,FEJESP,37.5,75,4,4,0,0,0,SP,Piracicaba,14
InfoJr UFBA,UNIJr-BA,NaN,45,6,1,0,0,0,BA,Salvador,15
InfoJr UFBA,UNIJr-BA,NaN,45,6,2,0,0,0,BA,Salvador,15
InfoJr UFBA,UNIJr-BA,NaN,45,6,3,0,0,0,BA,Salvador,15
InfoJr UFBA,UNIJr-BA,NaN,45,6,4,0,0,0,BA,Salvador,15
BIOMAS,FEJESP,NaN,83,1,1,0,0,0,SP,Ilha Solteira,12
BIOMAS,FEJESP,NaN,83,1,2,0,0,0,SP,Ilha Solteira,12
BIOMAS,FEJESP,NaN,83,1,3,0,0,0,SP,Ilha Solteira,12
BIOMAS,FEJESP,NaN,83,1,4,0,0,0,SP,Ilha Solteira,12
Dynamo Junior,Roraima Júnior,NaN,0,0,1,0,0,0,RR,,2
Dynamo Junior,Roraima Júnior,NaN,0,0,2,0,0,0,RR,,2
Dynamo Junior,Roraima Júnior,NaN,0,0,3,0,0,0,RR,,2
Dynamo Junior,Roraima Júnior,NaN,0,0,4,0,0,0,RR,,2
Atrium Engenharia Júnior,FEJESC,4,33,3,1,0,0,0,SC,Joinville,6
Atrium Engenharia Júnior,FEJESC,4,33,3,2,500,2,0,SC,Joinville,6
Atrium Engenharia Júnior,FEJESC,4,33,3,3,0,0,0,SC,Joinville,6
Atrium Engenharia Júnior,FEJESC,4,33,3,4,0,0,0,SC,Joinville,6
Pacto Consultoria Jr.,RioJunior,38,55,8,1,0,0,0,RJ,Niterói,19
Pacto Consultoria Jr.,RioJunior,38,55,8,2,1579.19,1,0,RJ,Niterói,19
Pacto Consultoria Jr.,RioJunior,38,55,8,3,4711.76,2,0,RJ,Niterói,19
Pacto Consultoria Jr.,RioJunior,38,55,8,4,0,0,0,RJ,Niterói,19
Verus Consultoria Jurídica ,FEJEMS,20,85,23,1,0,0,0,MS,Campo Grande,11
Verus Consultoria Jurídica ,FEJEMS,20,85,23,2,0,0,0,MS,Campo Grande,11
Verus Consultoria Jurídica ,FEJEMS,20,85,23,3,900,2,0,MS,Campo Grande,11
Verus Consultoria Jurídica ,FEJEMS,20,85,23,4,0,0,0,MS,Campo Grande,11
Sinergia,FEJEMG,3.8,43,14,1,0,0,0,MG,Viçosa,19
Sinergia,FEJEMG,3.8,43,14,2,139,2,0,MG,Viçosa,19
Sinergia,FEJEMG,3.8,43,14,3,520,3,0,MG,Viçosa,19
Sinergia,FEJEMG,3.8,43,14,4,0,0,0,MG,Viçosa,19
Praxis Consultoria Jr. ,Concentro,62.5,75,20,1,26694,2,0,DF,Brasília,29
Praxis Consultoria Jr. ,Concentro,62.5,75,20,2,15700,3,0,DF,Brasília,29
Praxis Consultoria Jr. ,Concentro,62.5,75,20,3,850,1,0,DF,Brasília,29
Praxis Consultoria Jr. ,Concentro,62.5,75,20,4,0,0,0,DF,Brasília,29
Farmácia Jr Consultoria UFMG,FEJEMG,25.83,45,8,1,640,2,0,MG,Belo Horizonte,19
Farmácia Jr Consultoria UFMG,FEJEMG,25.83,45,8,2,0,0,0,MG,Belo Horizonte,19
Farmácia Jr Consultoria UFMG,FEJEMG,25.83,45,8,3,135,1,0,MG,Belo Horizonte,19
Farmácia Jr Consultoria UFMG,FEJEMG,25.83,45,8,4,2555,3,0,MG,Belo Horizonte,19
Fucape Jr,Juniores,NaN,78,13,1,0,0,0,ES,,5
Fucape Jr,Juniores,NaN,78,13,2,0,0,0,ES,,5
Fucape Jr,Juniores,NaN,78,13,3,0,0,0,ES,,5
Fucape Jr,Juniores,NaN,78,13,4,0,0,0,ES,,5
Completur Jr,FEJEMG,61,100,4,1,7999,1,0,MG,Ouro Preto,19
Completur Jr,FEJEMG,61,100,4,2,0,0,0,MG,Ouro Preto,19
Completur Jr,FEJEMG,61,100,4,3,0,0,0,MG,Ouro Preto,19
Completur Jr,FEJEMG,61,100,4,4,0,0,0,MG,Ouro Preto,19
Prisma Consultoria e Serviços em Engenharia,FEJEPE,56.67,100,25,1,24000,8,1,PE,Recife,29
Prisma Consultoria e Serviços em Engenharia,FEJEPE,56.67,100,25,2,0,0,0,PE,Recife,29
Prisma Consultoria e Serviços em Engenharia,FEJEPE,56.67,100,25,3,1900,1,0,PE,Recife,29
Prisma Consultoria e Serviços em Engenharia,FEJEPE,56.67,100,25,4,0,0,0,PE,Recife,29
EngePro Consultoria Júnior,FEJEPAR,12,60,16,1,0,0,0,PR,Curitiba,10
EngePro Consultoria Júnior,FEJEPAR,12,60,16,2,150,1,0,PR,Curitiba,10
EngePro Consultoria Júnior,FEJEPAR,12,60,16,3,1821.18,2,0,PR,Curitiba,10
EngePro Consultoria Júnior,FEJEPAR,12,60,16,4,0,0,0,PR,Curitiba,10
Cápsula Júnior,RN Júnior,NaN,60,3,1,0,0,0,RN,,11
Cápsula Júnior,RN Júnior,NaN,60,3,2,0,0,0,RN,,11
Cápsula Júnior,RN Júnior,NaN,60,3,3,0,0,0,RN,,11
Cápsula Júnior,RN Júnior,NaN,60,3,4,0,0,0,RN,,11
Empresa Júnior Pharma ,FEJEMS,20,80,3,1,0,0,0,MS,Campo Grande,6
Empresa Júnior Pharma ,FEJEMS,20,80,3,2,0,0,0,MS,Campo Grande,6
Empresa Júnior Pharma ,FEJEMS,20,80,3,3,350,3,0,MS,Campo Grande,6
Empresa Júnior Pharma ,FEJEMS,20,80,3,4,0,0,0,MS,Campo Grande,6
Opção Consultoria ,RioJunior,10,36,30,1,0,0,0,RJ,Niterói,32
Opção Consultoria ,RioJunior,10,36,30,2,0,0,0,RJ,Niterói,32
Opção Consultoria ,RioJunior,10,36,30,3,6000,5,0,RJ,Niterói,32
Opção Consultoria ,RioJunior,10,36,30,4,0,0,0,RJ,Niterói,32
Acesso Comunicação Júnior,FEJEMG,29.79,80,23,1,0,0,0,MG,Juiz de Fora,19
Acesso Comunicação Júnior,FEJEMG,29.79,80,23,2,4917,7,0,MG,Juiz de Fora,19
Acesso Comunicação Júnior,FEJEMG,29.79,80,23,3,2820,4,0,MG,Juiz de Fora,19
Acesso Comunicação Júnior,FEJEMG,29.79,80,23,4,7100,8,0,MG,Juiz de Fora,19
Petra Jr.,FEJERS,NaN,33,3,1,0,0,0,RS,Porto Alegre,7
Petra Jr.,FEJERS,NaN,33,3,2,0,0,0,RS,Porto Alegre,7
Petra Jr.,FEJERS,NaN,33,3,3,0,0,0,RS,Porto Alegre,7
Petra Jr.,FEJERS,NaN,33,3,4,0,0,0,RS,Porto Alegre,7
Reina Consultoria Internacional,SERJÚNIOR,7.73,80,10,1,0,0,0,SE,São Cristóvão,8
Reina Consultoria Internacional,SERJÚNIOR,7.73,80,10,2,0,0,0,SE,São Cristóvão,8
Reina Consultoria Internacional,SERJÚNIOR,7.73,80,10,3,0,0,0,SE,São Cristóvão,8
Reina Consultoria Internacional,SERJÚNIOR,7.73,80,10,4,6012,11,0,SE,São Cristóvão,8
AJEA Consultoria & Projetos,FEJEMG,16,51,1,1,0,0,0,MG,,18
AJEA Consultoria & Projetos,FEJEMG,16,51,1,2,1698.78,3,0,MG,,18
AJEA Consultoria & Projetos,FEJEMG,16,51,1,3,1357.95,2,0,MG,,18
AJEA Consultoria & Projetos,FEJEMG,16,51,1,4,0,0,0,MG,,18
ENGETEC-ENGENHARIA JÚNIOR ,UNIJr-BA,18.33,50,9,1,0,0,0,BA,Feira de Santana,27
ENGETEC-ENGENHARIA JÚNIOR ,UNIJr-BA,18.33,50,9,2,223,1,0,BA,Feira de Santana,27
ENGETEC-ENGENHARIA JÚNIOR ,UNIJr-BA,18.33,50,9,3,1800,2,0,BA,Feira de Santana,27
ENGETEC-ENGENHARIA JÚNIOR ,UNIJr-BA,18.33,50,9,4,0,0,0,BA,Feira de Santana,27
EMJEL,FEJEPAR,28,85,11,1,0,0,0,PR,Curitiba,18
EMJEL,FEJEPAR,28,85,11,2,0,0,0,PR,Curitiba,18
EMJEL,FEJEPAR,28,85,11,3,505.6,1,0,PR,Curitiba,18
EMJEL,FEJEPAR,28,85,11,4,2397,1,0,PR,Curitiba,18
EMBRAGEA,Concentro,2.25,50,4,1,454.25,2,0,DF,Brasília,11
EMBRAGEA,Concentro,2.25,50,4,2,1544.83,2,0,DF,Brasília,11
EMBRAGEA,Concentro,2.25,50,4,3,0,0,0,DF,Brasília,11
EMBRAGEA,Concentro,2.25,50,4,4,0,0,0,DF,Brasília,11
Agência de Comunicações ECA Jr.,FEJESP,15,33,26,1,0,0,1,SP,São Paulo,16
Agência de Comunicações ECA Jr.,FEJESP,15,33,26,2,1500,1,0,SP,São Paulo,16
Agência de Comunicações ECA Jr.,FEJESP,15,33,26,3,1297.44,2,0,SP,São Paulo,16
Agência de Comunicações ECA Jr.,FEJESP,15,33,26,4,0,0,0,SP,São Paulo,16
ConsultAgro Jr.,UNIJr-BA,15.25,50,8,1,830,3,0,BA,Feira de Santana,20
ConsultAgro Jr.,UNIJr-BA,15.25,50,8,2,1320,5,0,BA,Feira de Santana,20
ConsultAgro Jr.,UNIJr-BA,15.25,50,8,3,0,0,0,BA,Feira de Santana,20
ConsultAgro Jr.,UNIJr-BA,15.25,50,8,4,0,0,0,BA,Feira de Santana,20
Sigma Engenharia,FEJEA,38,80,2,1,100,1,0,AL,Palmeira dos Índios,15
Sigma Engenharia,FEJEA,38,80,2,2,1220,3,0,AL,Palmeira dos Índios,15
Sigma Engenharia,FEJEA,38,80,2,3,750,1,0,AL,Palmeira dos Índios,15
Sigma Engenharia,FEJEA,38,80,2,4,0,0,0,AL,Palmeira dos Índios,15
CONSOAGRO ,FEJEPAR,15,85,20,1,0,0,0,PR,Londrina,16
CONSOAGRO ,FEJEPAR,15,85,20,2,0,0,0,PR,Londrina,16
CONSOAGRO ,FEJEPAR,15,85,20,3,850,1,0,PR,Londrina,16
CONSOAGRO ,FEJEPAR,15,85,20,4,0,0,0,PR,Londrina,16
Líderi Jr.,PB Júnior,NaN,73,4,1,0,0,0,PB,,16
Líderi Jr.,PB Júnior,NaN,73,4,2,0,0,0,PB,,16
Líderi Jr.,PB Júnior,NaN,73,4,3,0,0,0,PB,,16
Líderi Jr.,PB Júnior,NaN,73,4,4,0,0,0,PB,,16
GTi Engenharia Jr,FEJECE,76,75,16,1,1645,1,0,CE,Fortaleza,14
GTi Engenharia Jr,FEJECE,76,75,16,2,12125,4,0,CE,Fortaleza,14
GTi Engenharia Jr,FEJECE,76,75,16,3,7155,3,0,CE,Fortaleza,14
GTi Engenharia Jr,FEJECE,76,75,16,4,12410,4,0,CE,Fortaleza,14
Apetite,FEJEMS,33.33,60,5,1,1200,2,0,MS,Campo Grande,17
Apetite,FEJEMS,33.33,60,5,2,0,0,0,MS,Campo Grande,17
Apetite,FEJEMS,33.33,60,5,3,200,1,0,MS,Campo Grande,17
Apetite,FEJEMS,33.33,60,5,4,0,0,0,MS,Campo Grande,17
Produção Jr,FEJESP,24.8,42,13,1,19354.2,2,0,SP,São Carlos,23
Produção Jr,FEJESP,24.8,42,13,2,0,0,0,SP,São Carlos,23
Produção Jr,FEJESP,24.8,42,13,3,6158.13,4,0,SP,São Carlos,23
Produção Jr,FEJESP,24.8,42,13,4,9078.5,4,0,SP,São Carlos,23
InovEQ,FEJESC,19.5,50,3,1,0,0,0,SC,Blumenau,7
InovEQ,FEJESC,19.5,50,3,2,0,0,0,SC,Blumenau,7
InovEQ,FEJESC,19.5,50,3,3,2190,2,0,SC,Blumenau,7
InovEQ,FEJESC,19.5,50,3,4,0,0,0,SC,Blumenau,7
Engeali,FEJESP,31.43,62,32,1,4489.52,5,0,SP,São José do Rio Preto,14
Engeali,FEJESP,31.43,62,32,2,1400,1,0,SP,São José do Rio Preto,14
Engeali,FEJESP,31.43,62,32,3,100,1,0,SP,São José do Rio Preto,14
Engeali,FEJESP,31.43,62,32,4,0,0,0,SP,São José do Rio Preto,14
Quimlabor Jr.,FEJERS,10,80,3,1,0,0,0,RS,Porto Alegre,6
Quimlabor Jr.,FEJERS,10,80,3,2,0,0,0,RS,Porto Alegre,6
Quimlabor Jr.,FEJERS,10,80,3,3,320.1,1,0,RS,Porto Alegre,6
Quimlabor Jr.,FEJERS,10,80,3,4,0,0,0,RS,Porto Alegre,6
Planej - Empresa Júnior de Arquitetura e Urbanismo e Engenharia Civil,PB Júnior,23.64,60,45,1,800,1,0,PB,João Pessoa,21
Planej - Empresa Júnior de Arquitetura e Urbanismo e Engenharia Civil,PB Júnior,23.64,60,45,2,13090,10,1,PB,João Pessoa,21
Planej - Empresa Júnior de Arquitetura e Urbanismo e Engenharia Civil,PB Júnior,23.64,60,45,3,0,0,0,PB,João Pessoa,21
Planej - Empresa Júnior de Arquitetura e Urbanismo e Engenharia Civil,PB Júnior,23.64,60,45,4,0,0,0,PB,João Pessoa,21
Executive Consultoria Júnior,PB Júnior,17.5,51,9,1,0,0,0,PB,Bananeiras,15
Executive Consultoria Júnior,PB Júnior,17.5,51,9,2,150,1,0,PB,Bananeiras,15
Executive Consultoria Júnior,PB Júnior,17.5,51,9,3,0,0,0,PB,Bananeiras,15
Executive Consultoria Júnior,PB Júnior,17.5,51,9,4,990,1,1,PB,Bananeiras,15
Cromo Consultoria,FEJEPAR,36.5,38,12,1,2400,1,0,PR,Curitiba,33
Cromo Consultoria,FEJEPAR,36.5,38,12,2,0,0,0,PR,Curitiba,33
Cromo Consultoria,FEJEPAR,36.5,38,12,3,4320,4,0,PR,Curitiba,33
Cromo Consultoria,FEJEPAR,36.5,38,12,4,11200,1,0,PR,Curitiba,33
ProHidro Jr.,FEJEMG,30,90,6,1,0,0,0,MG,,6
ProHidro Jr.,FEJEMG,30,90,6,2,0,0,0,MG,,6
ProHidro Jr.,FEJEMG,30,90,6,3,0,0,0,MG,,6
ProHidro Jr.,FEJEMG,30,90,6,4,1445,1,0,MG,,6
Alligare Júnior,Pará Júnior,15,0,0,1,0,0,0,PA,Cametá,15
Alligare Júnior,Pará Júnior,15,0,0,2,550,2,0,PA,Cametá,15
Alligare Júnior,Pará Júnior,15,0,0,3,0,0,0,PA,Cametá,15
Alligare Júnior,Pará Júnior,15,0,0,4,0,0,0,PA,Cametá,15
Desenvolve Consultoria Junior ,FEJEPAR,42.25,33,4,1,0,0,0,PR,Laranjeiras do Sul,20
Desenvolve Consultoria Junior ,FEJEPAR,42.25,33,4,2,0,0,0,PR,Laranjeiras do Sul,20
Desenvolve Consultoria Junior ,FEJEPAR,42.25,33,4,3,3330,3,0,PR,Laranjeiras do Sul,20
Desenvolve Consultoria Junior ,FEJEPAR,42.25,33,4,4,500,1,0,PR,Laranjeiras do Sul,20
Sustenta,FEJEMG,17.4,33,15,1,2000,1,0,MG,Uberlândia,33
Sustenta,FEJEMG,17.4,33,15,2,1350,2,0,MG,Uberlândia,33
Sustenta,FEJEMG,17.4,33,15,3,300,1,0,MG,Uberlândia,33
Sustenta,FEJEMG,17.4,33,15,4,800,1,0,MG,Uberlândia,33
EFICAP,FEJEMG,NaN,33,1,1,0,0,0,MG,Viçosa,6
EFICAP,FEJEMG,NaN,33,1,2,0,0,0,MG,Viçosa,6
EFICAP,FEJEMG,NaN,33,1,3,0,0,0,MG,Viçosa,6
EFICAP,FEJEMG,NaN,33,1,4,0,0,0,MG,Viçosa,6
ACEEP Jr,Pará Júnior,18,33,15,1,0,0,0,PA,Belém,14
ACEEP Jr,Pará Júnior,18,33,15,2,0,0,0,PA,Belém,14
ACEEP Jr,Pará Júnior,18,33,15,3,12600,5,0,PA,Belém,14
ACEEP Jr,Pará Júnior,18,33,15,4,0,0,0,PA,Belém,14
No Bugs,FEJEMG,31,33,10,1,967.5,1,0,MG,Viçosa,12
No Bugs,FEJEMG,31,33,10,2,1735,1,0,MG,Viçosa,12
No Bugs,FEJEMG,31,33,10,3,1400,1,0,MG,Viçosa,12
No Bugs,FEJEMG,31,33,10,4,11371.98,5,0,MG,Viçosa,12
Fluxo Consultoria,RioJunior,15.78,80,320,1,46880,26,0,RJ,Rio de Janeiro,74
Fluxo Consultoria,RioJunior,15.78,80,320,2,56090,27,0,RJ,Rio de Janeiro,74
Fluxo Consultoria,RioJunior,15.78,80,320,3,56970,24,3,RJ,Rio de Janeiro,74
Fluxo Consultoria,RioJunior,15.78,80,320,4,19680,6,0,RJ,Rio de Janeiro,74
Orc'estra Gamificação,Concentro,28,60,3,1,2435.73,1,0,DF,Brasília,19
Orc'estra Gamificação,Concentro,28,60,3,2,0,0,0,DF,Brasília,19
Orc'estra Gamificação,Concentro,28,60,3,3,0,0,0,DF,Brasília,19
Orc'estra Gamificação,Concentro,28,60,3,4,0,0,0,DF,Brasília,19
Solidus Júnior,RN Júnior,12,53,12,1,0,0,0,RN,,14
Solidus Júnior,RN Júnior,12,53,12,2,0,0,0,RN,,14
Solidus Júnior,RN Júnior,12,53,12,3,0,0,1,RN,,14
Solidus Júnior,RN Júnior,12,53,12,4,1503.81,1,0,RN,,14
Arché Empresa Júnior,FEJEMG,55,65,16,1,2800,1,0,MG,São João del Rei,20
Arché Empresa Júnior,FEJEMG,55,65,16,2,0,0,0,MG,São João del Rei,20
Arché Empresa Júnior,FEJEMG,55,65,16,3,7610,8,0,MG,São João del Rei,20
Arché Empresa Júnior,FEJEMG,55,65,16,4,0,0,0,MG,São João del Rei,20
EletroJr,UNIJr-BA,26.4,50,30,1,4630,4,0,BA,Salvador,30
EletroJr,UNIJr-BA,26.4,50,30,2,17865,11,0,BA,Salvador,30
EletroJr,UNIJr-BA,26.4,50,30,3,6350,2,0,BA,Salvador,30
EletroJr,UNIJr-BA,26.4,50,30,4,7920,3,0,BA,Salvador,30
Mandala Soluções em Engenharia Ambiental,FEJERS,51.2,40,4,1,135500,5,0,RS,Porto Alegre,15
Mandala Soluções em Engenharia Ambiental,FEJERS,51.2,40,4,2,0,0,0,RS,Porto Alegre,15
Mandala Soluções em Engenharia Ambiental,FEJERS,51.2,40,4,3,0,0,0,RS,Porto Alegre,15
Mandala Soluções em Engenharia Ambiental,FEJERS,51.2,40,4,4,0,0,0,RS,Porto Alegre,15
Conflor Júnior,FEJESP,7.8,50,1,1,2212.5,5,0,SP,Botucatu,26
Conflor Júnior,FEJESP,7.8,50,1,2,0,0,0,SP,Botucatu,26
Conflor Júnior,FEJESP,7.8,50,1,3,0,0,0,SP,Botucatu,26
Conflor Júnior,FEJESP,7.8,50,1,4,0,0,1,SP,Botucatu,26
Vianna Consultoria Júnior ,FEJEMG,39,60,8,1,1350,1,0,MG,Juiz de Fora,6
Vianna Consultoria Júnior ,FEJEMG,39,60,8,2,0,0,0,MG,Juiz de Fora,6
Vianna Consultoria Júnior ,FEJEMG,39,60,8,3,3000,3,0,MG,Juiz de Fora,6
Vianna Consultoria Júnior ,FEJEMG,39,60,8,4,0,0,0,MG,Juiz de Fora,6
Cinética Júnior,Juniores,90,90,6,1,1255,1,0,ES,Jerônimo Monteiro,20
Cinética Júnior,Juniores,90,90,6,2,0,0,0,ES,Jerônimo Monteiro,20
Cinética Júnior,Juniores,90,90,6,3,0,0,0,ES,Jerônimo Monteiro,20
Cinética Júnior,Juniores,90,90,6,4,0,0,0,ES,Jerônimo Monteiro,20
EPRO Consultoria,FEJECE,86.57,80,13,1,4500,1,0,CE,Fortaleza,15
EPRO Consultoria,FEJECE,86.57,80,13,2,4800,1,0,CE,Fortaleza,15
EPRO Consultoria,FEJECE,86.57,80,13,3,17521,4,1,CE,Fortaleza,15
EPRO Consultoria,FEJECE,86.57,80,13,4,4200,1,0,CE,Fortaleza,15
EcoLógica Jr.,FEJERS,256,74,10,1,0,0,0,RS,Frederico Westphalen,19
EcoLógica Jr.,FEJERS,256,74,10,2,17540,1,0,RS,Frederico Westphalen,19
EcoLógica Jr.,FEJERS,256,74,10,3,0,0,0,RS,Frederico Westphalen,19
EcoLógica Jr.,FEJERS,256,74,10,4,0,0,0,RS,Frederico Westphalen,19
Lamparina Design,Concentro,23,80,4,1,0,0,0,DF,Brasília,13
Lamparina Design,Concentro,23,80,4,2,1985,2,0,DF,Brasília,13
Lamparina Design,Concentro,23,80,4,3,7825,3,0,DF,Brasília,13
Lamparina Design,Concentro,23,80,4,4,0,0,1,DF,Brasília,13
Renova Jr.,FEJERS,NaN,60,8,1,0,0,0,RS,Porto Alegre,3
